Danh mục gộp Station,,,
Nhóm,Sector,Station,Ghi chú
OTH,SGNFRA,BKK,
OTH,SGNICN,BKK,
OTH,SGNICN,BOM,
OTH,SGNICN,DEL,
OTH,SGNICN,MEL,
OTH,SGNICN,PNH,
OTH,SGNICN,SIN,
OTH,SGNICN,SYD,
OTH,SGNKIX,DEL,
OTH,SGNKIX,PNH,
OTH,SGNLHR,BKK,
OTH,SGNMEL,BKK,
OTH,SGNMEL,BOM,
OTH,SGNMEL,DEL,
OTH,SGNMEL,KHH,
OTH,SGNMEL,SIN,
OTH,SGNMEL,TPE,
OTH,SGNNRT,DEL,
OTH,SGNNRT,KUL,
OTH,SGNNRT,PNH,
OTH,SGNNRT,SIN,
OTH,SGNPER,BKK,
OTH,SGNPER,BOM,
OTH,SGNPER,DEL,
OTH,SGNPER,KHH,
OTH,SGNPER,SFO,
OTH,SGNPER,SIN,
OTH,SGNPER,TPE,
OTH,SGNPUS,BOM,
OTH,SGNPUS,FRA,
OTH,SGNPUS,SIN,
OTH,SGNPVG,BOM,
OTH,SGNPVG,DEL,
OTH,SGNPVG,PNH,
OTH,SGNPVG,SYD,
OTH,SGNSIN,CNY,
OTH,SGNSYD,BKK,
OTH,SGNSYD,BOM,
OTH,SGNSYD,DEL,
OTH,SGNSYD,KHH,
OTH,SGNSYD,KIX,
OTH,SGNSYD,NGO,
OTH,SGNSYD,SIN,
OTH,SGNSYD,TPE,
OTH,SGNTPE,BKK,
PEK,HANBOM,PEK,
PEK,HANBOM,PKX,
PEK,HANCDG,PKX,
PEK,HANDEL,PKX,
PEK,HANFRA,PKX,
PEK,HANLHR,PKX,
PEK,HANMEL,PKX,
PEK,HANMUC,PKX,
PEK,HANSYD,PKX,
PEK,SGNCDG,PKX,
PEK,SGNFRA,PKX,
PEK,SGNLHR,PKX,
PEK,SGNMEL,PKX,
PEK,SGNMUC,PKX,
PEK,SGNPER,PKX,
PEK,SGNSYD,PKX,
PVG,HANBOM,CAN,
PVG,HANBOM,PVG,
PVG,SGNDEL,PKX,
PVG,SGNDEL,PVG,
PVG,SGNPER,CAN,
SGN,SGNCDG,DAD,
SGN,SGNCDG,HAN,
SGN,SGNFRA,HAN,
SGN,SGNICN,DAD,
SGN,SGNICN,HAN,
SGN,SGNKIX,DAD,
SGN,SGNKIX,HAN,
SGN,SGNLHR,DAD,
SGN,SGNLHR,HAN,
SGN,SGNMEL,DAD,
SGN,SGNMEL,HAN,
SGN,SGNMUC,DAD,
SGN,SGNMUC,HAN,
SGN,SGNNRT,DAD,
SGN,SGNNRT,HAN,
SGN,SGNPVG,DAD,
SGN,SGNPVG,HAN,
SGN,SGNSFO,DAD,
SGN,SGNSFO,HAN,
SGN,SGNSYD,DAD,
TPE,HANCDG,KHH,
TPE,HANCDG,TPE,
TPE,HANFRA,KHH,
TPE,HANFRA,TPE,
TPE,HANLHR,KHH,
TPE,HANLHR,TPE,
TPE,SGNFRA,KHH,
TPE,SGNFRA,TPE,
TPE,SGNLHR,KHH,
TPE,SGNLHR,TPE,
