STS,DEST,Month,Flight No,Phân thị,Sector,A/C,Dow,Vị trí phân bổ,AC type,CW/ vị trí,Total CW,Net Rate ($),All in,Revenue,,,,,,,,,,,,,
CAN,CDG,APR,VN019,Châu Âu,HANCDG,350,D3,2,1,500.00,"5,000.00",2.7,2.7,"13,500.00",,,,,,,,,,,,,
CAN,CDG,APR,VN019,Châu Âu,HANCDG,350,D4,1,1,500.00,"2,000.00",2.7,2.7,"5,400.00",,,,,,,,,,,,,
CAN,CDG,APR,VN011,Châu Âu,SGNCDG,350,D4,2,1,500.00,"4,000.00",2.7,2.7,"10,800.00",,,,,,,,,,,,,
CAN,CDG,APR,VN019,Châu Âu,HANCDG,350,D5,3,1,500.00,"6,000.00",2.7,2.7,"16,200.00",,,,,,,,,,,,,
CAN,CDG,APR,VN019,Châu Âu,HANCDG,350,D6,2,1,500.00,"4,000.00",2.7,2.7,"10,800.00",,,,,,,,,,,,,
CAN,CDG,APR,VN019,Châu Âu,HANCDG,350,D7,3,1,500.00,"6,000.00",2.7,2.7,"16,200.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN019,Châu Âu,HANCDG,350,D1,2,1,500.00,"4,000.00",2.6,2.6,"10,400.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN011,Châu Âu,SGNCDG,350,D1,3,1,500.00,"1,500.00",2.6,2.6,"3,900.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN011,Châu Âu,SGNCDG,350,D2,2,1,500.00,"4,000.00",2.6,2.6,"10,400.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN019,Châu Âu,HANCDG,350,D2,3,1,500.00,"1,500.00",2.6,2.6,"3,900.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN019,Châu Âu,HANCDG,350,D3,2,1,500.00,"4,000.00",2.6,2.6,"10,400.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN019,Châu Âu,HANCDG,350,D4,1,1,500.00,"2,500.00",2.6,2.6,"6,500.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN011,Châu Âu,SGNCDG,350,D4,2,1,500.00,"5,000.00",2.6,2.6,"13,000.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN019,Châu Âu,HANCDG,350,D5,3,1,500.00,"7,500.00",2.6,2.6,"19,500.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN019,Châu Âu,HANCDG,350,D6,3,1,500.00,"7,500.00",2.6,2.6,"19,500.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN011,Châu Âu,SGNCDG,350,D6,3,1,500.00,"7,500.00",2.6,2.6,"19,500.00",,,,,,,,,,,,,
CAN,CDG,MAY,VN019,Châu Âu,HANCDG,350,D7,3,1,500.00,"6,000.00",2.6,2.6,"15,600.00",,,,,,,,,,,,,
